No.,No. 2,No. 3,Time,Review text,Rater 1 - Valence,Rater 1 - Arousal,Rater 2 - Valence,Rater 2 - Arousal
1,158674,247,10/27/11,"The best ramen I've ever had. EVER. All of the ramens sound amazing, but I can't get away from the Modern. And their pork buns are out of control. In the great pork bun debate, I vote for Ippudo. Sorry Momofuku.   Definitely not the place for an intimate date, but the atmosphere is great. There are several larger tables/bars so you may be sitting next to people you don't know, and the hostesses, waiters and chefs yell all kinds of things at random, but I think that adds to the ambiance. The service has been friendly, attentive and quick every time. The wait can be intimidating, sometimes 2-3 hours, but it's worth it. Put your name in a couple of hours before you actually want to eat, wander around the East Village or go around the corner to Black and White Bar and get a couple of drinks. They are super nice and you can call back and check your status on the wait list. Seriously one of my favorite restaurants in the city.",9,7,7,6
2,31960,277,2/18/12,"cheap, reliable, filling and open late. Dont care about much else :) been loyal to these folks for 5 years now!",8,7,9,8
3,68445,555,5/13/13,"I really don't understand why this place is rated so high.  I am a native New Yorker, this truck has been here for years and the quality in my opinion is getting worse.  One of the things that has happened in recent years in the food is no longer really prepared on site, much of it is brought in my van and warmed up in the cart, and I don't think its as good as some of the other carts in the area.  Typically I go to the one on 49 or 50th on 6th ave, because the quality is better there, and you dont have to wait on line with some of the drunkest and stupidest people in the world for an hour just to get cart food.",2,4,1,5
4,99410,247,4/22/13,"Thank god they take down your phone number so you don't have to wait with a 100 other people in the front bar area. With waits times hours long you could go watch a movie if you plan it right. Sat at the dining bar, and enjoyed watching the chefs do their stuff. I had the porky ramen, but found the pork belly a little over cooked. I did really like the cucumber appetizer. Something about the ratio of their sesame oil and salt and the freshness of the cucumber was super good.",5,6,7,8
5,90106,452,3/23/13,We saw the B rating on the door...we should have followed our first instincts. I ordered the hanger steak..basically 3 meatballs on a pile of mushrooms with French fries under to make ot look big...for $30..my lady ordered the grilled sea bass..it had the grill marks but was cool inside..hmmm for $30. The waiters were nice though.,5,7,3,6
6,41581,335,6/25/13,"this place was great.  I've tried about every taco, even the specialty tacos, which sound weird but are delicious.  This place could definitely be compared to some good taco shops in Arizona and California.  The prices are very reasonable.  I would definitely go back.",8,6,7,5
7,94037,465,1/6/12,"The pizza was okay.  Not anywhere near what the reputation would suggest.  Contrary to what I've read here, the service was actually very nice.  The real disappointment was when it came time to pay the bill.  Cash only, so I hit the ATM.  $4.50 fee!? I've never in my Manhattan/Brooklyn life seen a fee this high. No thank you. I asked the waiter if there was anywhere else to get cash in the area.  He said he had no idea.  He said they had nothing to do with the ATM, which is perhaps only very technically true at best.  I was tempted to tell him his tip just went into the ATM - he could retrieve it there.  Instead I am leaving a review here.  Restaurants should be held accountable for this kind of thing. Instead of leaving Grimaldi's grateful for a decent pizza, I left mad about a stupid ATM fee.  Will not go back out of principle.",7,5,5,4
8,15150,685,8/11/13,"I don't think I can ever have any other burger ever again. Umami Burger blows any other burger I've ever had out of the water. You have no idea how excited I was when I heard New York was finally getting our very own Umami Burger. During all this hype of the grand opening, I only had to wait 30 minutes for a table of two, but I've heard larger groups being asked to wait for an hour, which isn't TOO bad. I definitely think it's worth the wait. The whole idea of umami is the 5th taste -  savory. I honestly had no idea it would be this good. With my bf, I split the manly burger, truffle burger, and truffle fries - truffle all day, everyday.  The truffle burger was my favorite, and this is the burger i've been waiting for my whole life. Listen to the waiter's suggestion and get it MEDIUM RARE! It's soft, juicy, and full of flavor. It's so savory it makes your mouth water even while you're still eating it. The umami ketchup they give is really great, and the perfect compliment as well. The manly burger was good too and so were the fries, but I wish they were cut in thicker slices or gave more! I finished those babies in no time! But if I'm wishing for things, I would want bigger portions of everything there. I can't wait to go back and order something off their secret menu. I've heard of other creations such as the kalbi burger, duck burger, and b.u.b burger. I will be back!",9,9,8,8
9,37781,120,1/11/11,"Worth every dime. Great staff, great food, great restaurant.",9,7,7,6
10,146950,819,5/9/11,"A very fun ambiance, the place is always jam packed.  A lot of energy, lively and trendy. It's one of a few restaurants that resides in the basement and still draws a crowd. Not a sushi place, but the cooked food/small dishes was pretty good. The price was decent for a time square location.  I haven't find something signature on the menu that makes me crave and drives me to go back though. I have spent a few nights having good time with friends at the restaurant. I would definitely go again when I'm in the area, just that the wait can be insane at times, and the people there were nice enough not to really rush you once you get seated...at least that's how I remembered it =)",7,8,8,6
11,1222,145,7/16/14,"Very nice pizza slice, price $ 4 or 4.50 but I guess in this City you can't excape from high prices... I would cut the slice a bit larger at least! Enjoy. Ps. Maybe the slice is so expensive so you buy a whole pizza which might be worth?! I'll think about it.",4,5,6,3
12,42922,480,6/6/12,"Big fan, beautiful space, very sweet manager, Brandy, who came over and chatted a bit with me and my date.  We only had wine (the rose and albarino were both great), but I'll be back for sure.",9,5,6,7
13,32577,100,4/12/14,"Super tiny restaurant and very popular. Prepare to stand in line to get in. Food was good, not amazing so I'm not entirely sure why it's so hip. I ordered a Mexican coffee which had a healthy pie of tequila in it. They also used to have a burger special which was a great deal, might still be around.",5,3,3,4
14,122379,622,12/14/13,A great place overall! I had the Brazilian Pacu Fish Ribs - delicious! Very friendly staff and outstanding service!,7,6,8,7
15,21525,72,6/13/13,"Hands down, the best ramen I've had in NYC by far. The Spicy Miso Ramen is DELICIOUS. The spice is perfect, gives it a little kick but definitely not so bad that I was sweating into my soup. This is my new go-to ramen spot, can't wait to come back!",8,6,8,8
